 <190>#1608629311433#2900325156-QL#/APP1/VS_APP1_HTTPS#113.167.198.80#53722#113.167.198.80#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/menu.js#304#nocontenttype#0#AfdJ2l8AAAAAO1/Fqz2RJ09tnEJimzEE#NoDID#Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36#0#
 <190>#1608629311705#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1123#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/jquery.maskedinput-1.2.2.min.js#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629311790#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1117#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/validatevn.js#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629311791#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1123#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/common_vi_VN.js#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629311791#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1121#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/json2.js#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629311826#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1117#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/chrome/hex2base.js#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629311828#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1123#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/chrome/page.js#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312266#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1117#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/enumeration/reset.css#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312272#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1121#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/enumeration/superfish-navbar.css#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312272#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1123#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/enumeration/common.js#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312365#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1121#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/enumeration/ihtkk.css#304#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312372#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1117#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/images/enumeration/load_bar.gif#200#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312372#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1123#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/images/enumeration/signing.gif#200#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312576#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1123#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/images/bg_boxcommon_foot_r.gif#404#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312583#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1121#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/images/bg_boxcommon_head.gif#404#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629312585#0305051873-QL#/APP1/VS_APP1_HTTPS#171.250.254.137#1117#171.250.254.137#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/images/bg_boxcommon_head_l.gif#404#nocontenttype#0#AfdJ2l8AAAAA/bSqg+lS+6RpcqnETPWh#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313357#2900325156-QL#/APP1/VS_APP1_HTTPS#113.167.198.80#53722#113.167.198.80#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/default/validation.css#304#nocontenttype#0#AfdJ2l8AAAAAO1/Fqz2RJ09tnEJimzEE#NoDID#Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36#0#
 <190>#1608629313359#2900325156-QL#/APP1/VS_APP1_HTTPS#113.167.198.80#53720#113.167.198.80#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/dkyThue.css#304#nocontenttype#0#AfdJ2l8AAAAAO1/Fqz2RJ09tnEJimzEE#NoDID#Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36#0#
 <190>#1608629313373#2900325156-QL#/APP1/VS_APP1_HTTPS#113.167.198.80#53722#113.167.198.80#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/jquery.metadata.js#304#nocontenttype#0#AfdJ2l8AAAAAO1/Fqz2RJ09tnEJimzEE#NoDID#Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36#0#
 <190>#1608629313381#2900325156-QL#/APP1/VS_APP1_HTTPS#113.167.198.80#53720#113.167.198.80#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/menu.js#304#nocontenttype#0#AfdJ2l8AAAAAO1/Fqz2RJ09tnEJimzEE#NoDID#Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36#0#
 <190>#1608629313432#2900325156-QL#/APP1/VS_APP1_HTTPS#113.167.198.80#53720#113.167.198.80#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/images/default/warn.gif#304#nocontenttype#0#AfdJ2l8AAAAAO1/Fqz2RJ09tnEJimzEE#NoDID#Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36#0#
 <190>#1608629313574#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56781#123.25.225.77#10.64.66.106:443#corpapp.corp.com#POST#/app1/Request#200#nocontenttype#295#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313633#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56781#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/default/lianav3.css#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313636#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56782#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/default/validation.css#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313642#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56784#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/default/calendar.css#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313642#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56783#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/ntdt.css#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313666#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56781#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/default/msb.css#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313668#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56782#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/default/validationEngine.jquery.css#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313675#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56784#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/style_new.css#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313676#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56783#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/menu.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313700#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56782#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/date2.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313706#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56781#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/calendar.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313709#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56784#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/jquery-ui-1.8.2.custom.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313710#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56783#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/jquery.validate.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313732#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56782#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/jquery.metadata.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313743#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56781#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/msb.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313743#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56784#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/jquery.validationEngine.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313744#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56783#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/json2.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313764#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56782#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/dkyThue.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313778#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56781#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/chrome/page.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313779#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56783#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/MoneyConvert_vn.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313778#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56784#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/common_vi_VN.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313796#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56782#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/chrome/hex2base.js#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629313835#0300507707-029-QL#/APP1/VS_APP1_HTTPS#123.25.225.77#56782#123.25.225.77#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/images/epay/logo.png#304#nocontenttype#0#AfdJ2l8AAAAArTpbzwt1nzHd5z+726BM#AfyvIZZF2u7+1nwADRVaF6hKL+NkiGJP#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629314467#0104206358-001-QL#/APP1/VS_APP1_HTTPS#115.73.218.200#60182#115.73.218.200#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/css/ntdt.css#304#nocontenttype#0#AQJK2l8AAAAAXsAt1AX6U8fZv7jP/h9o#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629314496#0104206358-001-QL#/APP1/VS_APP1_HTTPS#115.73.218.200#60182#115.73.218.200#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/menu.js#304#nocontenttype#0#AQJK2l8AAAAAXsAt1AX6U8fZv7jP/h9o#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
 <190>#1608629314543#0104206358-001-QL#/APP1/VS_APP1_HTTPS#115.73.218.200#60182#115.73.218.200#10.64.66.106:443#corpapp.corp.com#GET#/app1/static/script/default/public.js#304#nocontenttype#0#AQJK2l8AAAAAXsAt1AX6U8fZv7jP/h9o#NoDID#Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36#0#
